,model,parameters,cross_k,top_k,precision,recall,AUC ROC
0,KNN,"{'k': 5, 'weights': 'uniform', 'metric': 'euclidean'}",1,0.01,0.4583333333333333,0.01139240506329114,0.5794958072069437
1,KNN,"{'k': 5, 'weights': 'uniform', 'metric': 'euclidean'}",1,0.05,0.4583333333333333,0.01139240506329114,0.5794958072069437
2,KNN,"{'k': 5, 'weights': 'uniform', 'metric': 'euclidean'}",1,0.1,0.3856554967666079,0.07548906789413118,0.5794958072069437
3,KNN,"{'k': 5, 'weights': 'uniform', 'metric': 'euclidean'}",1,0.2,0.3856554967666079,0.07548906789413118,0.5794958072069437
4,KNN,"{'k': 5, 'weights': 'uniform', 'metric': 'euclidean'}",1,0.3,0.3411061285500747,0.2626006904487917,0.5794958072069437
5,KNN,"{'k': 5, 'weights': 'uniform', 'metric': 'manhattan'}",1,0.01,0.4583333333333333,0.01139240506329114,0.5794958072069437
6,KNN,"{'k': 5, 'weights': 'uniform', 'metric': 'manhattan'}",1,0.05,0.4583333333333333,0.01139240506329114,0.5794958072069437
7,KNN,"{'k': 5, 'weights': 'uniform', 'metric': 'manhattan'}",1,0.1,0.3856554967666079,0.07548906789413118,0.5794958072069437
8,KNN,"{'k': 5, 'weights': 'uniform', 'metric': 'manhattan'}",1,0.2,0.3856554967666079,0.07548906789413118,0.5794958072069437
9,KNN,"{'k': 5, 'weights': 'uniform', 'metric': 'manhattan'}",1,0.3,0.3411061285500747,0.2626006904487917,0.5794958072069437
10,KNN,"{'k': 5, 'weights': 'uniform', 'metric': 'minkowski'}",1,0.01,0.4583333333333333,0.01139240506329114,0.5794958072069437
11,KNN,"{'k': 5, 'weights': 'uniform', 'metric': 'minkowski'}",1,0.05,0.4583333333333333,0.01139240506329114,0.5794958072069437
12,KNN,"{'k': 5, 'weights': 'uniform', 'metric': 'minkowski'}",1,0.1,0.3856554967666079,0.07548906789413118,0.5794958072069437
13,KNN,"{'k': 5, 'weights': 'uniform', 'metric': 'minkowski'}",1,0.2,0.3856554967666079,0.07548906789413118,0.5794958072069437
14,KNN,"{'k': 5, 'weights': 'uniform', 'metric': 'minkowski'}",1,0.3,0.3411061285500747,0.2626006904487917,0.5794958072069437
15,KNN,"{'k': 5, 'weights': 'distance', 'metric': 'euclidean'}",1,0.01,0.0,0.0,0.5793707718064262
16,KNN,"{'k': 5, 'weights': 'distance', 'metric': 'euclidean'}",1,0.05,0.37221888153938665,0.0712313003452244,0.5793707718064262
17,KNN,"{'k': 5, 'weights': 'distance', 'metric': 'euclidean'}",1,0.1,0.35686155710390793,0.13555811277330265,0.5793707718064262
18,KNN,"{'k': 5, 'weights': 'distance', 'metric': 'euclidean'}",1,0.2,0.3399548532731377,0.2599539700805524,0.5793707718064262
19,KNN,"{'k': 5, 'weights': 'distance', 'metric': 'euclidean'}",1,0.3,0.32895660018041495,0.3776754890678941,0.5793707718064262
20,KNN,"{'k': 5, 'weights': 'distance', 'metric': 'manhattan'}",1,0.01,0.0,0.0,0.579223818399898
21,KNN,"{'k': 5, 'weights': 'distance', 'metric': 'manhattan'}",1,0.05,0.3734215273601924,0.0714614499424626,0.579223818399898
22,KNN,"{'k': 5, 'weights': 'distance', 'metric': 'manhattan'}",1,0.1,0.3617547111523015,0.13475258918296892,0.579223818399898
23,KNN,"{'k': 5, 'weights': 'distance', 'metric': 'manhattan'}",1,0.2,0.3391461214672279,0.25960874568469505,0.579223818399898
24,KNN,"{'k': 5, 'weights': 'distance', 'metric': 'manhattan'}",1,0.3,0.32919130173364064,0.37802071346375143,0.579223818399898
25,KNN,"{'k': 5, 'weights': 'distance', 'metric': 'minkowski'}",1,0.01,0.0,0.0,0.5793707718064262
26,KNN,"{'k': 5, 'weights': 'distance', 'metric': 'minkowski'}",1,0.05,0.37221888153938665,0.0712313003452244,0.5793707718064262
27,KNN,"{'k': 5, 'weights': 'distance', 'metric': 'minkowski'}",1,0.1,0.35686155710390793,0.13555811277330265,0.5793707718064262
28,KNN,"{'k': 5, 'weights': 'distance', 'metric': 'minkowski'}",1,0.2,0.3399548532731377,0.2599539700805524,0.5793707718064262
29,KNN,"{'k': 5, 'weights': 'distance', 'metric': 'minkowski'}",1,0.3,0.32895660018041495,0.3776754890678941,0.5793707718064262
30,KNN,"{'k': 10, 'weights': 'uniform', 'metric': 'euclidean'}",1,0.01,0.38271604938271603,0.010701956271576525,0.5980924007700492
31,KNN,"{'k': 10, 'weights': 'uniform', 'metric': 'euclidean'}",1,0.05,0.39352306182531893,0.04614499424626007,0.5980924007700492
32,KNN,"{'k': 10, 'weights': 'uniform', 'metric': 'euclidean'}",1,0.1,0.3797552100562355,0.13210586881472958,0.5980924007700492
33,KNN,"{'k': 10, 'weights': 'uniform', 'metric': 'euclidean'}",1,0.2,0.3797552100562355,0.13210586881472958,0.5980924007700492
34,KNN,"{'k': 10, 'weights': 'uniform', 'metric': 'euclidean'}",1,0.3,0.34627126035761013,0.27410817031070195,0.5980924007700492
35,KNN,"{'k': 10, 'weights': 'uniform', 'metric': 'manhattan'}",1,0.01,0.38271604938271603,0.010701956271576525,0.5980924007700492
36,KNN,"{'k': 10, 'weights': 'uniform', 'metric': 'manhattan'}",1,0.05,0.39352306182531893,0.04614499424626007,0.5980924007700492
37,KNN,"{'k': 10, 'weights': 'uniform', 'metric': 'manhattan'}",1,0.1,0.3797552100562355,0.13210586881472958,0.5980924007700492
38,KNN,"{'k': 10, 'weights': 'uniform', 'metric': 'manhattan'}",1,0.2,0.3797552100562355,0.13210586881472958,0.5980924007700492
39,KNN,"{'k': 10, 'weights': 'uniform', 'metric': 'manhattan'}",1,0.3,0.34627126035761013,0.27410817031070195,0.5980924007700492
40,KNN,"{'k': 10, 'weights': 'uniform', 'metric': 'minkowski'}",1,0.01,0.38271604938271603,0.010701956271576525,0.5980924007700492
41,KNN,"{'k': 10, 'weights': 'uniform', 'metric': 'minkowski'}",1,0.05,0.39352306182531893,0.04614499424626007,0.5980924007700492
42,KNN,"{'k': 10, 'weights': 'uniform', 'metric': 'minkowski'}",1,0.1,0.3797552100562355,0.13210586881472958,0.5980924007700492
43,KNN,"{'k': 10, 'weights': 'uniform', 'metric': 'minkowski'}",1,0.2,0.3797552100562355,0.13210586881472958,0.5980924007700492
44,KNN,"{'k': 10, 'weights': 'uniform', 'metric': 'minkowski'}",1,0.3,0.34627126035761013,0.27410817031070195,0.5980924007700492
45,KNN,"{'k': 10, 'weights': 'distance', 'metric': 'euclidean'}",1,0.01,0.33534743202416917,0.012773302646720368,0.5960151716704469
46,KNN,"{'k': 10, 'weights': 'distance', 'metric': 'euclidean'}",1,0.05,0.37084089534180276,0.07054085155350978,0.5960151716704469
47,KNN,"{'k': 10, 'weights': 'distance', 'metric': 'euclidean'}",1,0.1,0.3707155742633794,0.1418872266973533,0.5960151716704469
48,KNN,"{'k': 10, 'weights': 'distance', 'metric': 'euclidean'}",1,0.2,0.34444276881315034,0.2628308400460299,0.5960151716704469
49,KNN,"{'k': 10, 'weights': 'distance', 'metric': 'euclidean'}",1,0.3,0.3353707414829659,0.3851553509781358,0.5960151716704469
50,KNN,"{'k': 10, 'weights': 'distance', 'metric': 'manhattan'}",1,0.01,0.33433734939759036,0.012773302646720368,0.5957659857360436
51,KNN,"{'k': 10, 'weights': 'distance', 'metric': 'manhattan'}",1,0.05,0.3716012084592145,0.07077100115074798,0.5957659857360436
52,KNN,"{'k': 10, 'weights': 'distance', 'metric': 'manhattan'}",1,0.1,0.3634996993385448,0.1391254315304948,0.5957659857360436
53,KNN,"{'k': 10, 'weights': 'distance', 'metric': 'manhattan'}",1,0.2,0.3449571621824741,0.26409666283084005,0.5957659857360436
54,KNN,"{'k': 10, 'weights': 'distance', 'metric': 'manhattan'}",1,0.3,0.33599585062240667,0.37272727272727274,0.5957659857360436
55,KNN,"{'k': 10, 'weights': 'distance', 'metric': 'minkowski'}",1,0.01,0.33534743202416917,0.012773302646720368,0.5960151716704469
56,KNN,"{'k': 10, 'weights': 'distance', 'metric': 'minkowski'}",1,0.05,0.37084089534180276,0.07054085155350978,0.5960151716704469
57,KNN,"{'k': 10, 'weights': 'distance', 'metric': 'minkowski'}",1,0.1,0.3707155742633794,0.1418872266973533,0.5960151716704469
58,KNN,"{'k': 10, 'weights': 'distance', 'metric': 'minkowski'}",1,0.2,0.34444276881315034,0.2628308400460299,0.5960151716704469
59,KNN,"{'k': 10, 'weights': 'distance', 'metric': 'minkowski'}",1,0.3,0.3353707414829659,0.3851553509781358,0.5960151716704469
60,decision_tree,"{'criterion': 'gini', 'max_depth': 20}",1,0.01,0.0,0.0,0.5694049379584423
61,decision_tree,"{'criterion': 'gini', 'max_depth': 20}",1,0.05,0.0,0.0,0.5694049379584423
62,decision_tree,"{'criterion': 'gini', 'max_depth': 20}",1,0.1,0.0,0.0,0.5694049379584423
63,decision_tree,"{'criterion': 'gini', 'max_depth': 20}",1,0.2,0.30386071158213473,0.23095512082853856,0.5694049379584423
64,decision_tree,"{'criterion': 'gini', 'max_depth': 20}",1,0.3,0.3192574459404325,0.36018411967779057,0.5694049379584423
65,decision_tree,"{'criterion': 'gini', 'max_depth': 30}",1,0.01,0.0,0.0,0.543609453390727
66,decision_tree,"{'criterion': 'gini', 'max_depth': 30}",1,0.05,0.0,0.0,0.543609453390727
67,decision_tree,"{'criterion': 'gini', 'max_depth': 30}",1,0.1,0.0,0.0,0.543609453390727
68,decision_tree,"{'criterion': 'gini', 'max_depth': 30}",1,0.2,0.0,0.0,0.543609453390727
69,decision_tree,"{'criterion': 'gini', 'max_depth': 30}",1,0.3,0.3039136574541053,0.3467203682393556,0.543609453390727
70,decision_tree,"{'criterion': 'gini', 'max_depth': 40}",1,0.01,0.0,0.0,0.5428926622598436
71,decision_tree,"{'criterion': 'gini', 'max_depth': 40}",1,0.05,0.0,0.0,0.5428926622598436
72,decision_tree,"{'criterion': 'gini', 'max_depth': 40}",1,0.1,0.0,0.0,0.5428926622598436
73,decision_tree,"{'criterion': 'gini', 'max_depth': 40}",1,0.2,0.0,0.0,0.5428926622598436
74,decision_tree,"{'criterion': 'gini', 'max_depth': 40}",1,0.3,0.0,0.0,0.5428926622598436
75,decision_tree,"{'criterion': 'entropy', 'max_depth': 20}",1,0.01,0.0,0.0,0.5756569022804324
76,decision_tree,"{'criterion': 'entropy', 'max_depth': 20}",1,0.05,0.0,0.0,0.5756569022804324
77,decision_tree,"{'criterion': 'entropy', 'max_depth': 20}",1,0.1,0.0,0.0,0.5756569022804324
78,decision_tree,"{'criterion': 'entropy', 'max_depth': 20}",1,0.2,0.3056016910765514,0.23291139240506328,0.5756569022804324
79,decision_tree,"{'criterion': 'entropy', 'max_depth': 20}",1,0.3,0.3326549302940877,0.3761795166858458,0.5756569022804324
80,decision_tree,"{'criterion': 'entropy', 'max_depth': 30}",1,0.01,0.0,0.0,0.5504848624367139
81,decision_tree,"{'criterion': 'entropy', 'max_depth': 30}",1,0.05,0.0,0.0,0.5504848624367139
82,decision_tree,"{'criterion': 'entropy', 'max_depth': 30}",1,0.1,0.0,0.0,0.5504848624367139
83,decision_tree,"{'criterion': 'entropy', 'max_depth': 30}",1,0.2,0.0,0.0,0.5504848624367139
84,decision_tree,"{'criterion': 'entropy', 'max_depth': 30}",1,0.3,0.3064117710235206,0.3283084004602992,0.5504848624367139
85,decision_tree,"{'criterion': 'entropy', 'max_depth': 40}",1,0.01,0.0,0.0,0.5398308294182665
86,decision_tree,"{'criterion': 'entropy', 'max_depth': 40}",1,0.05,0.0,0.0,0.5398308294182665
87,decision_tree,"{'criterion': 'entropy', 'max_depth': 40}",1,0.1,0.0,0.0,0.5398308294182665
88,decision_tree,"{'criterion': 'entropy', 'max_depth': 40}",1,0.2,0.0,0.0,0.5398308294182665
89,decision_tree,"{'criterion': 'entropy', 'max_depth': 40}",1,0.3,0.3015075376884422,0.34522439585730724,0.5398308294182665
90,logistic_reg,"{'C': 0.01, 'penalty': 'l1', 'fit_intercept': True, 'seed': 1234}",1,0.01,0.5091463414634146,0.019217491369390105,0.6602782456100432
91,logistic_reg,"{'C': 0.01, 'penalty': 'l1', 'fit_intercept': True, 'seed': 1234}",1,0.05,0.4624173180998196,0.08849252013808975,0.6602782456100432
92,logistic_reg,"{'C': 0.01, 'penalty': 'l1', 'fit_intercept': True, 'seed': 1234}",1,0.1,0.4306766917293233,0.16478711162255466,0.6602782456100432
93,logistic_reg,"{'C': 0.01, 'penalty': 'l1', 'fit_intercept': True, 'seed': 1234}",1,0.2,0.40312876052948254,0.3084004602991945,0.6602782456100432
94,logistic_reg,"{'C': 0.01, 'penalty': 'l1', 'fit_intercept': True, 'seed': 1234}",1,0.3,0.38398233641107987,0.44027617951668585,0.6602782456100432
95,logistic_reg,"{'C': 0.01, 'penalty': 'l1', 'fit_intercept': False, 'seed': 1234}",1,0.01,0.5384615384615384,0.020138089758342925,0.6595643806254284
96,logistic_reg,"{'C': 0.01, 'penalty': 'l1', 'fit_intercept': False, 'seed': 1234}",1,0.05,0.45057610673135234,0.0855005753739931,0.6595643806254284
97,logistic_reg,"{'C': 0.01, 'penalty': 'l1', 'fit_intercept': False, 'seed': 1234}",1,0.1,0.42160698164309357,0.16121979286536248,0.6595643806254284
98,logistic_reg,"{'C': 0.01, 'penalty': 'l1', 'fit_intercept': False, 'seed': 1234}",1,0.2,0.4010228640192539,0.30678941311852703,0.6595643806254284
99,logistic_reg,"{'C': 0.01, 'penalty': 'l1', 'fit_intercept': False, 'seed': 1234}",1,0.3,0.3816633266533066,0.4383199079401611,0.6595643806254284
100,logistic_reg,"{'C': 0.01, 'penalty': 'l2', 'fit_intercept': True, 'seed': 1234}",1,0.01,0.5196374622356495,0.019792865362485614,0.6626739119921012
101,logistic_reg,"{'C': 0.01, 'penalty': 'l2', 'fit_intercept': True, 'seed': 1234}",1,0.05,0.4696331930246542,0.08987341772151898,0.6626739119921012
102,logistic_reg,"{'C': 0.01, 'penalty': 'l2', 'fit_intercept': True, 'seed': 1234}",1,0.1,0.4380637402285027,0.16766398158803222,0.6626739119921012
103,logistic_reg,"{'C': 0.01, 'penalty': 'l2', 'fit_intercept': True, 'seed': 1234}",1,0.2,0.4187584548324064,0.32059838895281934,0.6626739119921012
104,logistic_reg,"{'C': 0.01, 'penalty': 'l2', 'fit_intercept': True, 'seed': 1234}",1,0.3,0.3905811623246493,0.44856156501726124,0.6626739119921012
105,logistic_reg,"{'C': 0.01, 'penalty': 'l2', 'fit_intercept': False, 'seed': 1234}",1,0.01,0.5180722891566265,0.019792865362485614,0.662466998337153
106,logistic_reg,"{'C': 0.01, 'penalty': 'l2', 'fit_intercept': False, 'seed': 1234}",1,0.05,0.4672279013830427,0.08941311852704258,0.662466998337153
107,logistic_reg,"{'C': 0.01, 'penalty': 'l2', 'fit_intercept': False, 'seed': 1234}",1,0.1,0.43475646422128683,0.1663981588032221,0.662466998337153
108,logistic_reg,"{'C': 0.01, 'penalty': 'l2', 'fit_intercept': False, 'seed': 1234}",1,0.2,0.4184578385690666,0.3203682393555811,0.662466998337153
109,logistic_reg,"{'C': 0.01, 'penalty': 'l2', 'fit_intercept': False, 'seed': 1234}",1,0.3,0.39038076152304607,0.448331415420023,0.662466998337153
110,logistic_reg,"{'C': 1, 'penalty': 'l1', 'fit_intercept': True, 'seed': 1234}",1,0.01,0.4578313253012048,0.017491369390103567,0.654203029886347
111,logistic_reg,"{'C': 1, 'penalty': 'l1', 'fit_intercept': True, 'seed': 1234}",1,0.05,0.4546001202645821,0.08699654775604143,0.654203029886347
